activityID,startTime,linkedEvents,GST_ActivityID
2013-05-01T03:12:00-CME-001,2013-05-01T03:12Z,[{'activityID': '2013-05-04T04:52:00-IPS-001'}],2013-05-04T04:52:00-IPS-001
2013-05-03T22:36:00-CME-001,2013-05-03T22:36Z,[{'activityID': '2013-05-07T04:37:00-IPS-001'}],2013-05-07T04:37:00-IPS-001
2013-05-09T19:29:00-CME-001,2013-05-09T19:29Z,[{'activityID': '2013-05-12T23:30:00-IPS-001'}],2013-05-12T23:30:00-IPS-001
2013-05-13T02:54:00-CME-001,2013-05-13T02:54Z,"[{'activityID': '2013-05-13T01:53:00-FLR-001'}, {'activityID': '2013-05-13T04:12:00-SEP-001'}]",2013-05-13T01:53:00-FLR-001
2013-05-13T16:18:00-CME-001,2013-05-13T16:18Z,"[{'activityID': '2013-05-13T15:40:00-FLR-001'}, {'activityID': '2013-05-13T18:02:00-SEP-001'}]",2013-05-13T15:40:00-FLR-001
2013-05-14T01:30:00-CME-001,2013-05-14T01:30Z,[{'activityID': '2013-05-14T01:00:00-FLR-001'}],2013-05-14T01:00:00-FLR-001
2013-05-15T02:18:00-CME-001,2013-05-15T02:18Z,"[{'activityID': '2013-05-15T01:25:00-FLR-001'}, {'activityID': '2013-05-15T13:25:00-SEP-001'}, {'activityID': '2013-05-18T00:23:00-IPS-001'}]",2013-05-15T01:25:00-FLR-001
2013-05-17T09:24:00-CME-001,2013-05-17T09:24Z,[{'activityID': '2013-05-19T22:20:00-IPS-001'}],2013-05-19T22:20:00-IPS-001
2013-05-18T03:24:00-CME-001,2013-05-18T03:24Z,[{'activityID': '2013-05-19T18:53:00-IPS-001'}],2013-05-19T18:53:00-IPS-001
2013-05-22T09:12:00-CME-001,2013-05-22T09:12Z,[{'activityID': '2013-05-25T20:00:00-IPS-001'}],2013-05-25T20:00:00-IPS-001
2013-05-22T13:24:00-CME-001,2013-05-22T13:24Z,"[{'activityID': '2013-05-22T12:30:00-FLR-001'}, {'activityID': '2013-05-22T15:05:00-SEP-001'}, {'activityID': '2013-05-22T15:05:00-SEP-002'}, {'activityID': '2013-05-22T15:30:00-SEP-001'}, {'activityID': '2013-05-24T17:35:00-IPS-001'}, {'activityID': '2013-05-28T13:00:00-RBE-001'}]",2013-05-22T12:30:00-FLR-001
2013-05-26T19:24:00-CME-001,2013-05-26T19:24Z,[{'activityID': '2013-05-29T12:00:00-IPS-001'}],2013-05-29T12:00:00-IPS-001
2013-06-02T20:24:00-CME-001,2013-06-02T20:24Z,[{'activityID': '2013-06-07T03:00:00-GST-001'}],2013-06-07T03:00:00-GST-001
2013-06-07T23:54:00-CME-001,2013-06-07T23:54Z,[{'activityID': '2013-06-07T22:32:00-FLR-001'}],2013-06-07T22:32:00-FLR-001
2013-06-16T14:00:00-CME-001,2013-06-16T14:00Z,[{'activityID': '2013-06-19T15:08:00-IPS-001'}],2013-06-19T15:08:00-IPS-001
2013-06-16T20:48:00-CME-001,2013-06-16T20:48Z,[{'activityID': '2013-06-20T11:13:00-IPS-001'}],2013-06-20T11:13:00-IPS-001
2013-06-21T03:24:00-CME-001,2013-06-21T03:24Z,"[{'activityID': '2013-06-21T06:09:00-SEP-001'}, {'activityID': '2013-06-21T17:37:00-IPS-001'}, {'activityID': '2013-06-23T20:10:00-SEP-001'}]",2013-06-21T06:09:00-SEP-001
2013-06-24T03:54:00-CME-001,2013-06-24T03:54Z,[{'activityID': '2013-06-27T16:17:00-IPS-001'}],2013-06-27T16:17:00-IPS-001
2013-07-01T21:09:00-CME-001,2013-07-01T21:09Z,"[{'activityID': '2013-07-05T01:00:00-IPS-001'}, {'activityID': '2013-07-05T07:04:00-IPS-001'}]",2013-07-05T01:00:00-IPS-001
2013-07-09T15:09:00-CME-001,2013-07-09T15:09Z,"[{'activityID': '2013-07-11T01:05:00-IPS-001'}, {'activityID': '2013-07-12T11:00:00-RBE-001'}, {'activityID': '2013-07-12T17:14:00-IPS-001'}]",2013-07-11T01:05:00-IPS-001
2013-07-22T19:24:00-CME-001,2013-07-22T19:24Z,[{'activityID': '2013-07-25T06:12:00-IPS-001'}],2013-07-25T06:12:00-IPS-001
2013-08-06T03:24:00-CME-001,2013-08-06T03:24Z,[{'activityID': '2013-08-10T09:16:00-IPS-001'}],2013-08-10T09:16:00-IPS-001
2013-08-19T23:12:00-CME-001,2013-08-19T23:12Z,"[{'activityID': '2013-08-20T05:54:00-SEP-001'}, {'activityID': '2013-08-20T12:41:00-IPS-001'}, {'activityID': '2013-08-22T02:10:00-IPS-001'}, {'activityID': '2013-08-22T07:05:00-IPS-001'}]",2013-08-20T05:54:00-SEP-001
2013-08-20T08:24:00-CME-001,2013-08-20T08:24Z,[{'activityID': '2013-08-22T19:26:00-IPS-001'}],2013-08-22T19:26:00-IPS-001
2013-08-21T05:09:00-CME-001,2013-08-21T05:09Z,[{'activityID': '2013-08-24T00:03:00-IPS-001'}],2013-08-24T00:03:00-IPS-001
2013-09-04T13:09:00-CME-001,2013-09-04T13:09Z,[{'activityID': '2013-09-05T13:39:00-IPS-001'}],2013-09-05T13:39:00-IPS-001
2013-09-06T20:48:00-CME-001,2013-09-06T20:48Z,[{'activityID': '2013-09-09T14:32:00-IPS-001'}],2013-09-09T14:32:00-IPS-001
2013-09-11T09:24:00-CME-001,2013-09-11T09:24Z,[{'activityID': '2013-09-12T23:36:00-IPS-001'}],2013-09-12T23:36:00-IPS-001
2013-09-29T22:40:00-CME-001,2013-09-29T22:40Z,"[{'activityID': '2013-09-30T05:05:00-SEP-001'}, {'activityID': '2013-10-02T01:54:00-IPS-001'}, {'activityID': '2013-10-02T02:47:00-MPC-001'}, {'activityID': '2013-10-02T03:00:00-GST-001'}]",2013-09-30T05:05:00-SEP-001
2013-10-04T10:54:00-CME-001,2013-10-04T10:54Z,[{'activityID': '2013-10-08T04:54:00-IPS-001'}],2013-10-08T04:54:00-IPS-001
2013-10-04T19:18:00-CME-001,2013-10-04T19:18Z,[{'activityID': '2013-10-08T04:54:00-IPS-001'}],2013-10-08T04:54:00-IPS-001
2013-10-05T07:09:00-CME-001,2013-10-05T07:09Z,"[{'activityID': '2013-10-05T12:55:00-SEP-001'}, {'activityID': '2013-10-08T04:54:00-IPS-001'}]",2013-10-05T12:55:00-SEP-001
2013-10-06T14:39:00-CME-001,2013-10-06T14:39Z,[{'activityID': '2013-10-08T20:20:00-IPS-001'}],2013-10-08T20:20:00-IPS-001
2013-10-11T07:24:00-CME-001,2013-10-11T07:24Z,"[{'activityID': '2013-10-11T08:17:00-SEP-001'}, {'activityID': '2013-10-11T11:46:00-SEP-001'}]",2013-10-11T08:17:00-SEP-001
2013-10-17T04:39:00-CME-001,2013-10-17T04:39Z,[{'activityID': '2013-10-21T18:23:00-IPS-001'}],2013-10-21T18:23:00-IPS-001
2013-10-22T22:00:00-CME-001,2013-10-22T22:00Z,[{'activityID': '2013-10-22T21:15:00-FLR-001'}],2013-10-22T21:15:00-FLR-001
2013-10-24T01:48:00-CME-001,2013-10-24T01:48Z,[{'activityID': '2013-10-24T00:22:00-FLR-001'}],2013-10-24T00:22:00-FLR-001
2013-10-25T08:24:00-CME-001,2013-10-25T08:24Z,"[{'activityID': '2013-10-25T07:53:00-FLR-001'}, {'activityID': '2013-10-25T13:36:00-SEP-001'}]",2013-10-25T07:53:00-FLR-001
