gstID,startTime_GST,allKpIndex,link,linkedEvents,submissionTime,versionId,CME_ActivityID
2013-06-01T01:00:00-GST-001,2013-06-01 01:00:00+00:00,"[{'observedTime': '2013-06-01T01:00Z', 'kpIndex': 6.0, 'source': 'NOAA'}]",https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/GST/326/-1,[{'activityID': '2013-05-31T15:45:00-HSS-001'}],2013-07-15T19:26Z,1,2013-05-31T15:45:00-HSS-001
2013-06-07T03:00:00-GST-001,2013-06-07 03:00:00+00:00,"[{'observedTime': '2013-06-07T03:00Z', 'kpIndex': 6.0, 'source': 'NOAA'}]",https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/GST/330/-1,[{'activityID': '2013-06-02T20:24:00-CME-001'}],2013-07-15T19:41Z,1,2013-06-02T20:24:00-CME-001
2013-06-29T03:00:00-GST-001,2013-06-29 03:00:00+00:00,"[{'observedTime': '2013-06-29T03:00Z', 'kpIndex': 6.0, 'source': 'NOAA'}, {'observedTime': '2013-06-29T06:00Z', 'kpIndex': 7.0, 'source': 'NOAA'}]",https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/GST/561/-1,,2013-09-25T04:48Z,2,
2013-10-02T03:00:00-GST-001,2013-10-02 03:00:00+00:00,"[{'observedTime': '2013-10-02T06:00Z', 'kpIndex': 6.0, 'source': 'NOAA'}]",https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/GST/3317/-1,"[{'activityID': '2013-09-29T22:40:00-CME-001'}, {'activityID': '2013-10-02T01:54:00-IPS-001'}, {'activityID': '2013-10-02T02:47:00-MPC-001'}]",2013-10-02T13:23Z,1,2013-09-29T22:40:00-CME-001
2013-12-08T00:00:00-GST-001,2013-12-08 00:00:00+00:00,"[{'observedTime': '2013-12-08T03:00Z', 'kpIndex': 6.0, 'source': 'NOAA'}]",https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/GST/3738/-1,"[{'activityID': '2013-12-04T23:12:00-CME-001'}, {'activityID': '2013-12-07T21:30:00-HSS-001'}]",2013-12-08T03:42Z,1,2013-12-04T23:12:00-CME-001
2014-02-19T03:00:00-GST-001,2014-02-19 03:00:00+00:00,"[{'observedTime': '2014-02-19T06:00Z', 'kpIndex': 6.0, 'source': 'NOAA'}]",https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/GST/4632/-1,"[{'activityID': '2014-02-16T14:15:00-CME-001'}, {'activityID': '2014-02-19T03:10:00-IPS-001'}]",2014-03-18T23:25Z,1,2014-02-16T14:15:00-CME-001
2014-02-20T03:00:00-GST-001,2014-02-20 03:00:00+00:00,"[{'observedTime': '2014-02-20T06:00Z', 'kpIndex': 6.0, 'source': 'NOAA'}]",https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/GST/4633/-1,"[{'activityID': '2014-02-18T01:25:00-CME-001'}, {'activityID': '2014-02-20T02:50:00-IPS-001'}, {'activityID': '2014-02-20T05:14:00-MPC-001'}]",2014-03-19T20:13Z,2,2014-02-18T01:25:00-CME-001
2014-02-27T18:00:00-GST-001,2014-02-27 18:00:00+00:00,"[{'observedTime': '2014-02-27T21:00Z', 'kpIndex': 6.0, 'source': 'NOAA'}]",https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/GST/4640/-1,"[{'activityID': '2014-02-25T01:25:00-CME-001'}, {'activityID': '2014-02-27T16:10:00-IPS-001'}]",2014-03-19T22:41Z,1,2014-02-25T01:25:00-CME-001
2014-06-08T03:00:00-GST-001,2014-06-08 03:00:00+00:00,"[{'observedTime': '2014-06-08T06:00Z', 'kpIndex': 6.0, 'source': 'NOAA'}, {'observedTime': '2014-06-08T09:00Z', 'kpIndex': 6.0, 'source': 'NOAA'}]",https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/GST/5691/-1,"[{'activityID': '2014-06-04T13:25:00-CME-001'}, {'activityID': '2014-06-07T16:09:00-IPS-001'}, {'activityID': '2014-06-08T05:08:00-MPC-001'}]",2014-06-08T05:28Z,1,2014-06-04T13:25:00-CME-001
2014-08-19T21:00:00-GST-001,2014-08-19 21:00:00+00:00,"[{'observedTime': '2014-08-20T00:00Z', 'kpIndex': 6.0, 'source': 'NOAA'}]",https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/GST/6430/-1,"[{'activityID': '2014-08-15T21:12:00-CME-001'}, {'activityID': '2014-08-19T05:57:00-IPS-001'}]",2014-08-20T00:37Z,1,2014-08-15T21:12:00-CME-001
2014-09-12T15:00:00-GST-001,2014-09-12 15:00:00+00:00,"[{'observedTime': '2014-09-12T18:00Z', 'kpIndex': 6.0, 'source': 'NOAA'}, {'observedTime': '2014-09-13T00:00Z', 'kpIndex': 7.0, 'source': 'NOAA'}]",https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/GST/6639/-1,"[{'activityID': '2014-09-10T18:18:00-CME-001'}, {'activityID': '2014-09-12T15:26:00-IPS-001'}]",2014-09-12T18:11Z,1,2014-09-10T18:18:00-CME-001
2015-01-07T06:00:00-GST-001,2015-01-07 06:00:00+00:00,"[{'observedTime': '2015-01-07T09:00Z', 'kpIndex': 6.0, 'source': 'NOAA'}, {'observedTime': '2015-01-07T12:00Z', 'kpIndex': 7.0, 'source': 'NOAA'}]",https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/GST/7537/-1,"[{'activityID': '2015-01-07T05:24:00-IPS-001'}, {'activityID': '2015-01-07T08:40:00-MPC-001'}]",2015-01-07T13:42Z,2,2015-01-07T05:24:00-IPS-001
2015-03-17T06:00:00-GST-001,2015-03-17 06:00:00+00:00,"[{'observedTime': '2015-03-17T09:00Z', 'kpIndex': 6.0, 'source': 'NOAA'}, {'observedTime': '2015-03-17T12:00Z', 'kpIndex': 6.0, 'source': 'NOAA'}, {'observedTime': '2015-03-17T15:00Z', 'kpIndex': 8.0, 'source': 'NOAA'}, {'observedTime': '2015-03-17T18:00Z', 'kpIndex': 8.0, 'source': 'NOAA'}, {'observedTime': '2015-03-17T21:00Z', 'kpIndex': 7.0, 'source': 'NOAA'}, {'observedTime': '2015-03-18T00:00Z', 'kpIndex': 8.0, 'source': 'NOAA'}, {'observedTime': '2015-03-18T03:00Z', 'kpIndex': 6.0, 'source': 'NOAA'}, {'observedTime': '2015-03-18T18:00Z', 'kpIndex': 6.0, 'source': 'NOAA'}]",https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/GST/8031/-1,"[{'activityID': '2015-03-15T02:00:00-CME-001'}, {'activityID': '2015-03-17T04:05:00-IPS-001'}, {'activityID': '2015-03-16T00:00:00-HSS-001'}]",2015-03-18T18:43Z,2,2015-03-15T02:00:00-CME-001
2015-03-22T06:00:00-GST-001,2015-03-22 06:00:00+00:00,"[{'observedTime': '2015-03-22T09:00Z', 'kpIndex': 6.0, 'source': 'NOAA'}]",https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/GST/8077/-1,[{'activityID': '2015-03-21T20:25:00-IPS-001'}],2015-03-22T09:34Z,1,2015-03-21T20:25:00-IPS-001
2015-04-10T03:00:00-GST-001,2015-04-10 03:00:00+00:00,"[{'observedTime': '2015-04-10T06:00Z', 'kpIndex': 6.0, 'source': 'NOAA'}, {'observedTime': '2015-04-10T06:00Z', 'kpIndex': 6.0, 'source': 'NOAA'}, {'observedTime': '2015-04-10T09:00Z', 'kpIndex': 6.0, 'source': 'NOAA'}]",https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/GST/8201/-1,,2015-04-10T06:11Z,1,
2015-04-16T21:00:00-GST-001,2015-04-16 21:00:00+00:00,"[{'observedTime': '2015-04-17T00:00Z', 'kpIndex': 6.0, 'source': 'NOAA'}]",https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/GST/8246/-1,,2015-04-17T00:14Z,1,
